,kon,koff,ksyn,burst_size,ll,message,success
ENSG00000000003,2.154434690031884,0.02580964253795107,0.0023226018792300513,0.08998969574316444,7.418526092190921,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000000005,0.006518363448688383,11.011921584760954,6.278318268203966,0.5701383014652348,9.059607058319308,b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',True
ENSG00000000419,1.7580425793923302,1.9991279719060926,2.107421745567392,1.0541705059321667,770.4730346316104,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000000457,0.6095536625816884,0.10000000000000002,0.7820067276268345,7.820067276268343,379.29493575847005,b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',True
ENSG00000000460,1.7860276184954431,46.238639889267645,17.272757928979075,0.3735567908213542,688.5047644595413,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000000938,0.0017817695432527168,0.987219279851459,6.160629330742963,6.240385957281867,9.227672092398084,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000000971,0.8674489701240786,167.1850762441055,189.93331471427263,1.1360662026851764,842.3401758021474,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001036,1.4849217108020778,708.474650316956,162.95269609826448,0.23000497763097527,481.4964766223539,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001084,1.0005404465726802,74.57292827233977,34.806200021857386,0.4667404221374466,570.8156428214232,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001167,1.5306190836095337,233.81378796393093,76.86443789721373,0.32874210955031935,602.1531947870516,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001460,0.6847646453907069,45.42006103787927,10.68679591448104,0.23528801305591604,288.47982721368754,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001461,1.7253916351047693,213.2743679953069,56.692540750977386,0.2658197573569877,570.6644857391939,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001497,1.6213935095249317,2.0520079874348487,1.2918747514032745,0.6295661417079603,570.6464730604528,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001617,0.05803337165991616,74.14897811600535,13.985405657550771,0.1886122508077015,36.60169759596292,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001626,0.07837546389715624,366.077912005491,57.962820709458555,0.15833465720977216,41.281945849435786,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001629,2.6687032025843074,167.1850762441055,134.13154151773662,0.8022937485274841,1213.7758313534032,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001630,3.6811514390276847,460.1252008531365,14.257966733852996,0.030987145905976742,232.17238767362707,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001631,1.5913009355791157,213.04367808339765,57.80565107601703,0.2713323934136574,550.6219983248496,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002016,1.291085499455799,67.09394275994158,8.365224838258664,0.12467928540418283,290.84085267737646,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002079,2.154434690031884,0.004641588833612778,0.004618759379372923,0.995081543183116,13.451071379740377,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002330,3.7790568905447826,74.83515369445274,5.035216598582686,0.06728410847048114,384.82231844110055,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002549,1.253013320947844,45.94261898701657,9.881500244243604,0.21508352075087675,404.67033909766656,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002586,1.491566678301051,992.0785302636824,190.88090907884842,0.19240503977856932,432.0539166961485,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002726,2.154434690031884,0.02580964253795107,0.0023226018792300513,0.08998969574316444,7.418526092190921,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002745,2.154434690031884,0.02580964253795107,0.0023226018792300513,0.08998969574316444,7.418526092190921,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002746,10.000000000000002,0.004641588833612778,0.015000094921439415,3.2316724852520164,46.99067423178121,b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',True
ENSG00000002822,4.424123443527949,76.49149145449832,30.124412135876504,0.3938269677196227,1068.9351390945308,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002834,2.490632686541826,6.542804899801139,3.854433318985365,0.5891102329984677,854.9771917266075,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002919,1.2674270954698716,0.021544346900318825,0.613255955047636,28.46481993095649,453.98968062364196,b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',True
