,kon,koff,ksyn,burst_size,ll,message,success
ENSG00000000003,2.154434690031884,0.02580964253795107,0.0023226018792300513,0.08998969574316444,7.418526092190921,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000000005,0.002119454267791694,1.0000000000000003e-05,2.1546558826109616,215465.5882610961,8.650546888289341,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000000419,2.837643841693689,1025.4262631018219,287.9313667376494,0.2807918785566141,771.2151401438739,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000000457,0.6095536625816884,0.10000000000000002,0.7820067276268345,7.820067276268343,379.29493575847005,b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',True
ENSG00000000460,1.7860276184954431,46.238639889267645,17.272757928979075,0.3735567908213542,688.5047644595413,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000000938,0.0017036337983704413,0.00021544346900318837,3.8763621686248033,17992.479356927903,9.069753221699447,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000000971,0.8691497438056787,282.468610817117,318.9846644670616,1.1292747308959816,842.287894306835,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001036,1.4849217108020778,708.474650316956,162.95269609826448,0.23000497763097527,481.4964766223539,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001084,1.008773500929058,205.48160814619675,93.76092456137584,0.4562983782697793,570.6814862425958,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001167,1.5251696095919618,210.57102603035034,69.53561412103103,0.33022403619294055,602.1540770762325,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001460,0.6847646453907069,45.42006103787927,10.68679591448104,0.23528801305591604,288.47982721368754,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001461,1.7253916351047693,213.2743679953069,56.692540750977386,0.2658197573569877,570.6644857391939,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001497,2.5841104974880693,217.02796465687516,38.927844133496,0.17936787176270844,570.862740531599,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001617,0.0579957675538688,46.06601389019094,8.748957153988753,0.18992216636854944,36.60156368365864,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001626,0.07824519406664275,46.233177102361296,7.44045442731573,0.16093322790346845,41.281645545725894,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001629,2.600541174049255,49.778896323580476,42.84110132528657,0.8606277858553597,1214.006211733607,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001630,1.9840249045332088,2.161834929285941,0.28659874255020323,0.13257198256338076,232.13333647845002,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000001631,1.5913009355791157,213.04367808339765,57.80565107601703,0.2713323934136574,550.6219983248496,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002016,0.7005912415634057,0.13494711794640682,0.47563368276753676,3.524593114737218,290.7514837711575,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002079,2.154434690031884,0.004641588833612778,0.004618759379372923,0.995081543183116,13.451071379740377,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002330,3.68300986526473,46.78247413617395,3.3332229498121317,0.0712493943802506,384.8235674363215,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002549,1.253013320947844,45.94261898701657,9.881500244243604,0.21508352075087675,404.67033909766656,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002586,1.491566678301051,992.0785302636824,190.88090907884842,0.19240503977856932,432.0539166961485,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002726,2.154434690031884,0.02580964253795107,0.0023226018792300513,0.08998969574316444,7.418526092190921,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002745,2.154434690031884,0.02580964253795107,0.0023226018792300513,0.08998969574316444,7.418526092190921,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002746,10.000000000000002,0.004641588833612778,0.015000094921439415,3.2316724852520164,46.99067423178121,b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',True
ENSG00000002822,1.9823672526000986,0.10000000000000002,2.597562030118158,25.975620301181575,1077.8024246625505,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002834,2.347572452357429,5.033677696874338,3.4114437904554653,0.6777239219296463,854.9633950527303,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',True
ENSG00000002919,1.2674270954698716,0.021544346900318825,0.613255955047636,28.46481993095649,453.98968062364196,b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL',True
