	binary_sum	binary_avg	nonzero_avg	nonzero_cov	kon	koff	ksyn	burstsize	kon_95%conf_low	kon_90%conf_low	kon_50%conf_low	kon_bootstrapmedian	kon_50%conf_high	kon_90%conf_high	kon_95%conf_high	kon_bootstrapfail%	koff_95%conf_low	koff_90%conf_low	koff_50%conf_low	koff_bootstrapmedian	koff_50%conf_high	koff_90%conf_high	koff_95%conf_high	koff_bootstrapfail%	ksyn_95%conf_low	ksyn_90%conf_low	ksyn_50%conf_low	ksyn_bootstrapmedian	ksyn_50%conf_high	ksyn_90%conf_high	ksyn_95%conf_high	ksyn_bootstrapfail%	burstsize_95%conf_low	burstsize_90%conf_low	burstsize_50%conf_low	burstsize_bootstrapmedian	burstsize_50%conf_high	burstsize_90%conf_high	burstsize_95%conf_high	burstsize_bootstrapfail%
ENSG00000005007	353.0	0.5758564437194127	1.8243626062322946	0.6264753429080728	2.769591490305372		34.19951893353393		2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	12.328082226845705	15.231553591087721	0.0								100.0	30.583452933271005	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.88332498296838	0.0								100.0
ENSG00000005020	148.0	0.24143556280587275	1.7432432432432432	0.7949800435452694	2.769591490305372		34.19951893353393		0.6518363448688383	0.6518363448688383	0.6518363448688383	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	0.0								100.0	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	0.0								100.0
ENSG00000005022	488.0	0.7960848287112561	2.918032786885246	0.669535892106869			5.848035476425731		0.6518363448688383	0.6518363448688383	0.6518363448688383	0.6518363448688383	0.6518363448688383	0.6518363448688383	0.6518363448688383	64.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	11.014920116198194	30.0								100.0
ENSG00000005059	61.0	0.09951060358890701	1.2131147540983607	0.4251927762851966	2.769591490305372		5.848035476425731		0.0361064078764099	0.0361064078764099	0.1534127404634389	2.769591490305372	5.965458245233284	9.07456270635331	9.272997623776831	0.0								100.0	5.848035476425731	5.848035476425731	6.365756006556454	21.650672275777396	34.19951893353393	34.19951893353393	34.19951893353393	0.0								100.0
ENSG00000005075	529.0	0.8629690048939641	2.6332703213610587	0.6319372498516789			5.848035476425731									100.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	0.0								100.0
ENSG00000005100	241.0	0.3931484502446982	1.4232365145228216	0.4975097144653421	8.448742805015		13.986640758247061		6.06669819980532	6.238390754910965	7.975631006126653	9.20560704287939	11.76773446825124	11.76773446825124	11.76773446825124	0.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	6.498393507636116	14.764962603867057	19.828695170779184	21.64096606052971	0.0								100.0
ENSG00000005102	1.0	0.0016313213703099511	1.0	0.0	2.769591490305372				0.0	0.0	0.0	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	0.0								100.0								100.0								100.0
ENSG00000005108	3.0	0.004893964110929853	1.0	0.0	2.769591490305372				0.623158085318709	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	0.0								100.0								100.0								100.0
ENSG00000005156	100.0	0.1631321370309951	1.21	0.35633158904644796	17.69538114776768		12.372605674806143		2.385587119202145	2.7091393836081687	3.983729729591861	9.929339063419533	15.522424298841115	20.97283521929573	23.1491134062714	0.0								100.0	4.57450764582031	6.157095825538615	8.941710562649181	11.705570089988665	15.049797462166014	18.20620855271333	18.613895795217278	0.0								100.0
ENSG00000005175	341.0	0.5562805872756933	1.7096774193548387	0.6208978130958903	2.769591490305372		34.19951893353393		2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	0.0								100.0	5.848035476425731	14.284460766093094	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	0.0								100.0
ENSG00000005187	51.0	0.08319738988580751	1.352941176470588	0.45875918235780916	0.7916248543354641		34.61295814588294		0.0361064078764099	0.08889425754057298	0.5810744573510478	1.0102367443354408	1.4396728967700225	4.170982308794	5.426520471555888	0.0								100.0	8.109238906841712	17.133384809525676	29.17019142770917	34.164475790280505	43.72253414529284	51.45818585524184	52.6430524457228	0.0								100.0
ENSG00000005189	67.0	0.10929853181076672	1.2388059701492538	0.39667656947359825	5.247478743621913		19.88294216825243		0.9498060639356692	0.989815660554517	1.6028499213116751	2.653626216306921	4.624617340644764	9.791185517416416	10.594952250237094	0.0								100.0	7.120374607378916	13.11608360190198	18.419383476307686	21.988896542130334	25.833749259471322	30.896472325815555	32.74661645278919	0.0								100.0
ENSG00000005194	280.0	0.4567699836867863	1.475	0.5310949113859684	11.76773446825124		5.848035476425731		9.23904994610981	9.790045626761604	11.76773446825124	11.76773446825124	11.76773446825124	11.76773446825124	11.76773446825124	0.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	16.91746382750952	18.105219441110968	0.0								100.0
ENSG00000005206	93.0	0.15171288743882544	1.1612903225806452	0.40508597878198804	2.769591490305372		5.848035476425731		0.1534127404634389	0.1534127404634389	2.769591490305372	2.769591490305372	2.769591490305372	17.767552438483946	19.64781834153833	0.0								100.0	4.227766838056663	4.36800174600309	5.848035476425731	5.848035476425731	9.766174269164372	34.19951893353393	34.19951893353393	4.0								100.0
ENSG00000005238	67.0	0.10929853181076672	1.1940298507462686	0.361420807370024	6.242150555961792		15.029335656356551		1.498582346585106	1.6046843374822963	2.769591490305372	4.067053224420992	5.44552490903077	9.872181128026622	10.096316459658322	0.0								100.0	3.6835157722348777	5.089390840311918	9.636491960165507	13.905126981726468	18.042881009520197	21.791414931557956	25.62627498784751	0.0								100.0
ENSG00000005243	4.0	0.0065252854812398045	1.0	0.0	2.769591490305372				2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	0.0								100.0								100.0								100.0
ENSG00000005249	415.0	0.6769983686786297	2.3686746987951803	0.7352129481908556			5.848035476425731									100.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	0.0								100.0
